1782444770590,41
1782444771092,804
1782444771592,1885
1782444772092,3084
1782444772593,4472
1782444773094,5799
1782444773594,7369
1782444774094,8878
1782444774594,10522
1782444775095,12171
1782444775596,13784
1782444776096,15271
1782444776597,17124
1782444777097,19300
1782444777597,21128
1782444778097,22833
1782444778598,24571
1782444779098,26411
1782444779599,28213
1782444780101,30234
1782444780601,32079
1782444781102,33888
1782444781603,35893
1782444782103,38043
1782444782604,40013
1782444783104,40328
1782444783604,41300
1782444784105,42878
1782444784604,44557
1782444785105,46243
1782444785606,48005
1782444786106,49648
1782444786607,51108
1782444787108,52826
1782444787608,54692
1782444788109,56805
1782444788610,58546
1782444789111,60374
1782444789613,62106
1782444790113,63928
1782444790613,65641
1782444791114,67349
1782444791614,69287
1782444792114,71263
1782444792615,73367
1782444793115,75304
1782444793615,77431
1782444794115,79370
1782444794615,81533
1782444795115,83226
1782444795616,85233
1782444796116,87260
1782444796616,89238
1782444797116,91426
1782444797617,93541
1782444798116,95617
1782444798617,97515
1782444799117,99610
1782444799617,101693
1782444800118,103829
1782444800619,105637
1782444801120,107594
1782444801621,109705
1782444802121,111792
1782444802621,114034
1782444803122,116091
1782444803622,118215
1782444804123,120324
1782444804623,122177
1782444805123,124246
1782444805623,126468
1782444806124,128487
1782444806625,130340
1782444807125,132522
1782444807625,134769
1782444808125,137008
1782444808625,139117
1782444809125,141422
1782444809625,143404
1782444810126,143974
1782444810680,144320
1782444811214,144651
1782444811792,145000
1782444812411,145353
1782444812934,145683
1782444813536,145982
1782444814115,146310
1782444814722,146679
1782444815222,148493
1782444815722,150490
1782444816222,152563
1782444816723,154483
1782444817224,156601
1782444817724,158657
1782444818224,160611
1782444818724,162717
1782444819224,164820
1782444819725,166871
1782444820226,168497
1782444820727,170260
1782444821227,171437
1782444821728,173395
1782444822229,175543
1782444822729,177486
1782444823230,179615
1782444823731,181623
1782444824232,183887
1782444824732,186042
1782444825243,186389
1782444825758,186727
1782444826371,187032
1782444826970,187376
1782444827493,187721
1782444828026,188072
1782444828564,188400
1782444829092,188751
1782444829618,189162
1782444830118,190951
1782444830620,193502
1782444831121,193831
1782444831622,193831
1782444832123,193831
1782444832624,193831
1782444833125,193831
1782444833626,193831
1782444834127,193831
1782444834628,193831
1782444835129,193831
1782444835630,193831
1782444836131,193831
1782444836632,193831
1782444837133,193831
1782444837634,193831
1782444838135,193831
