timestamp,mem_usage,cpu_perc
2026-06-28T14:06:22Z,334.1MiB / 7.654GiB,26.65%
2026-06-28T14:06:28Z,333.8MiB / 7.654GiB,20.90%
2026-06-28T14:06:35Z,333.8MiB / 7.654GiB,21.73%
2026-06-28T14:06:42Z,334.3MiB / 7.654GiB,21.95%
2026-06-28T14:06:48Z,333.8MiB / 7.654GiB,21.84%
2026-06-28T14:06:55Z,338.3MiB / 7.654GiB,22.76%
2026-06-28T14:07:02Z,345.2MiB / 7.654GiB,23.23%
2026-06-28T14:07:08Z,345.2MiB / 7.654GiB,23.52%
2026-06-28T14:07:15Z,345.7MiB / 7.654GiB,20.58%
2026-06-28T14:07:22Z,345.2MiB / 7.654GiB,22.18%
2026-06-28T14:07:28Z,345.2MiB / 7.654GiB,26.10%
2026-06-28T14:07:35Z,345.5MiB / 7.654GiB,23.57%
2026-06-28T14:07:42Z,345.5MiB / 7.654GiB,24.15%
2026-06-28T14:07:48Z,345.2MiB / 7.654GiB,22.93%
2026-06-28T14:07:55Z,345.4MiB / 7.654GiB,21.66%
2026-06-28T14:08:02Z,345.5MiB / 7.654GiB,22.78%
2026-06-28T14:08:08Z,345.2MiB / 7.654GiB,24.42%
2026-06-28T14:08:15Z,345.4MiB / 7.654GiB,18.59%
2026-06-28T14:08:22Z,345.7MiB / 7.654GiB,22.75%
2026-06-28T14:08:28Z,345.2MiB / 7.654GiB,22.63%
2026-06-28T14:08:35Z,345.7MiB / 7.654GiB,24.49%
2026-06-28T14:08:42Z,345.7MiB / 7.654GiB,20.60%
2026-06-28T14:08:48Z,345.2MiB / 7.654GiB,20.43%
2026-06-28T14:08:55Z,345.2MiB / 7.654GiB,23.70%
2026-06-28T14:09:02Z,345.5MiB / 7.654GiB,22.85%
2026-06-28T14:09:08Z,345.2MiB / 7.654GiB,23.71%
2026-06-28T14:09:15Z,345.8MiB / 7.654GiB,21.08%
2026-06-28T14:09:22Z,345.5MiB / 7.654GiB,20.40%
2026-06-28T14:09:28Z,345.2MiB / 7.654GiB,24.16%
2026-06-28T14:09:35Z,345.8MiB / 7.654GiB,21.06%
2026-06-28T14:09:42Z,345.2MiB / 7.654GiB,22.65%
2026-06-28T14:09:48Z,345.5MiB / 7.654GiB,23.27%
2026-06-28T14:09:55Z,345.8MiB / 7.654GiB,22.82%
2026-06-28T14:10:02Z,345.3MiB / 7.654GiB,24.31%
2026-06-28T14:10:08Z,345.2MiB / 7.654GiB,25.62%
2026-06-28T14:10:15Z,345.2MiB / 7.654GiB,21.20%
2026-06-28T14:10:22Z,345.5MiB / 7.654GiB,24.20%
2026-06-28T14:10:28Z,345.5MiB / 7.654GiB,21.30%
2026-06-28T14:10:35Z,345.3MiB / 7.654GiB,25.00%
2026-06-28T14:10:42Z,345.3MiB / 7.654GiB,24.56%
2026-06-28T14:10:48Z,345.2MiB / 7.654GiB,21.56%
2026-06-28T14:10:55Z,345.8MiB / 7.654GiB,22.82%
2026-06-28T14:11:02Z,345.3MiB / 7.654GiB,25.07%
2026-06-28T14:11:08Z,345.5MiB / 7.654GiB,21.69%
2026-06-28T14:11:15Z,345.5MiB / 7.654GiB,24.18%
2026-06-28T14:11:22Z,345.8MiB / 7.654GiB,25.96%
2026-06-28T14:11:28Z,345.3MiB / 7.654GiB,20.89%
2026-06-28T14:11:35Z,345.8MiB / 7.654GiB,25.04%
2026-06-28T14:11:42Z,345.5MiB / 7.654GiB,24.66%
2026-06-28T14:11:48Z,345.3MiB / 7.654GiB,19.77%
2026-06-28T14:11:55Z,345.3MiB / 7.654GiB,22.95%
2026-06-28T14:12:02Z,345.8MiB / 7.654GiB,23.12%
2026-06-28T14:12:08Z,345.5MiB / 7.654GiB,22.50%
2026-06-28T14:12:15Z,345.5MiB / 7.654GiB,25.57%
2026-06-28T14:12:22Z,345.5MiB / 7.654GiB,25.98%
2026-06-28T14:12:28Z,345.5MiB / 7.654GiB,21.83%
2026-06-28T14:12:35Z,345.3MiB / 7.654GiB,21.22%
2026-06-28T14:12:42Z,345.3MiB / 7.654GiB,22.98%
2026-06-28T14:12:48Z,345.3MiB / 7.654GiB,24.13%
2026-06-28T14:12:55Z,345.5MiB / 7.654GiB,20.29%
2026-06-28T14:13:02Z,345.3MiB / 7.654GiB,24.83%
2026-06-28T14:13:08Z,345.3MiB / 7.654GiB,25.51%
2026-06-28T14:13:15Z,346MiB / 7.654GiB,21.82%
2026-06-28T14:13:22Z,345.6MiB / 7.654GiB,25.25%
2026-06-28T14:13:28Z,345.6MiB / 7.654GiB,23.29%
2026-06-28T14:13:35Z,345.3MiB / 7.654GiB,19.21%
2026-06-28T14:13:42Z,346.1MiB / 7.654GiB,23.22%
2026-06-28T14:13:48Z,345.6MiB / 7.654GiB,22.38%
2026-06-28T14:13:55Z,345.6MiB / 7.654GiB,20.44%
2026-06-28T14:14:02Z,345.6MiB / 7.654GiB,24.89%
2026-06-28T14:14:08Z,345.3MiB / 7.654GiB,24.73%
2026-06-28T14:14:15Z,345.6MiB / 7.654GiB,22.54%
2026-06-28T14:14:22Z,345.6MiB / 7.654GiB,24.59%
2026-06-28T14:14:28Z,345.3MiB / 7.654GiB,20.16%
2026-06-28T14:14:35Z,345.6MiB / 7.654GiB,22.86%
