1782647719493,168
1782647719995,9124
1782647720496,36309
1782647720996,67548
1782647721497,109077
1782647721997,169259
1782647722497,226014
1782647722998,281259
1782647723500,336014
1782647724000,391514
1782647724501,450259
1782647725002,503514
1782647725503,534759
1782647726004,591759
1782647726504,649259
1782647727004,702259
1782647727504,774759
1782647728005,816546
1782647728505,856762
1782647729005,894592
1782647729506,933976
1782647730006,975490
1782647730506,1015195
1782647731006,1056585
1782647731507,1081859
1782647732008,1113000
1782647732508,1152828
1782647733008,1191581
1782647733509,1230620
1782647734010,1267500
1782647734510,1305899
1782647735010,1342086
1782647735510,1378132
1782647736011,1416172
1782647736512,1447058
1782647737012,1485982
1782647737512,1524000
1782647738012,1562329
1782647738512,1595440
1782647739012,1641683
1782647739513,1667281
1782647740013,1699347
1782647740514,1732623
1782647741014,1765013
1782647741514,1789958
1782647742014,1822904
1782647742514,1864279
1782647743014,1903156
1782647743514,1938693
1782647744014,1976774
1782647744514,2015556
1782647745014,2053045
1782647745514,2090968
1782647746015,2129333
1782647746516,2165758
1782647747016,2202671
1782647747516,2241401
1782647748017,2278351
1782647748517,2320048
1782647749018,2361780
1782647749518,2397497
1782647750018,2430607
1782647750519,2466807
1782647751020,2498812
1782647751520,2530508
1782647752021,2557317
1782647752521,2595353
1782647753021,2631244
1782647753522,2668471
1782647754022,2699540
1782647754522,2737675
1782647755022,2776803
1782647755523,2815211
1782647756023,2858432
1782647756523,2891966
1782647757024,2928976
1782647757524,2965374
1782647758024,3003375
1782647758525,3044869
1782647759025,3081484
1782647759525,3119995
1782647760025,3157881
1782647760525,3194700
1782647761025,3231591
1782647761526,3262657
1782647762027,3300251
1782647762527,3339894
1782647763027,3370603
1782647763527,3409036
1782647764028,3446882
1782647764528,3478853
1782647765029,3516559
1782647765529,3542695
1782647766030,3592940
1782647766531,3636778
1782647767032,3673493
1782647767533,3709381
1782647768034,3738671
1782647768534,3776297
1782647769034,3810799
1782647769534,3835360
1782647770034,3869130
1782647770535,3906663
1782647771035,3945613
1782647771535,3982704
1782647772035,4018879
1782647772535,4045544
1782647773035,4081767
1782647773535,4114358
1782647774035,4151805
1782647774536,4181763
1782647775037,4220538
1782647775537,4254859
1782647776037,4296093
1782647776537,4322587
1782647777037,4353252
1782647777537,4385222
1782647778038,4417993
1782647778538,4456227
1782647779038,4487197
1782647779539,4505335
1782647780040,4505335
1782647780541,4505335
1782647781042,4505335
1782647781543,4505335
1782647782045,4505335
1782647782546,4505335
1782647783047,4505335
1782647783548,4505335
1782647784049,4505335
1782647784550,4505335
1782647785051,4505335
1782647785552,4505335
1782647786053,4505335
1782647786555,4505335
1782647787056,4505335
